habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
ovary 	 Ovaire supère, enfoncé ou non dans le disque, à (2)3-5 loges (une seule loge fertile chez Pleurostylia).
placentation 	 Placentation axile.
ovules 	 Ovules 2-24 par loge, le plus souvent sur 2 rangs, souvent ascendants ou dressés.
style 	 Style central souvent atténué, rarement nul, parfois fendu (en 3 chez Cathà).
stigma 	 Stigmate ponctiforme aigu, tronqué ou lobulé, par exception à 3 stigmates séparés et sessiles (Apodostigma).
fruits 	 Fruit supère, bacciforme (Salaria), ou capsulaire loculicide, rarement drupacé (Pleurostylia).
seeds 	 Graine ni très petite, ni à testa très orné, rarement pubescente (Helictonema), albuminée (Celastreae) ou sans albumen (Hippocrateoideae), parfois ailée (Helictonemae, Hippocrateae, Carnpylostemoneae); parfois un brillant arille coloré (Celastreae). 
embryo 	 Embryon droit et court; cotylédons libres ou soudés. 
germination 	 Germination hypogée ou épigée.
note 	 Les anciennes Hippocratéacées méritent encore le rang de sous-famille: ce sont de grandes lianes (le plus souvent), inermes, à rameaux ultimes, feuillés florifères et occasionnellement préhensiles (chez toutes les lianes ou formes sarmenteuses). 
habit 	 Lianes glabres dépourvues de caoutchouc, à vieux bois interrompu, en coupe transversale, par des séries concentriques de petites lacunes.
shoots 	 Rameaux alternes densément lenticellés.
leaves 	 Feuilles subopposées ou parfois alternes, pétiolées.
stipules 	 Stipules réduites aux noeuds.
cauliflory 	 Cauliflorie remarquable: longs rameaux florifères aphylles pourvus seulement de petites écailles, issus entre le sol et 4 m de hauteur environ, de la partie inférieure des tiges ligneuses. 
flowers 	 Fleurs portées par de nombreux glomérules échelonnés.
calyx 	 Calice soudé ou non en capuchon.
corolla 	 Corolle quinconciale normalement 5-mère.
disk 	 Disque épais et largement charnu.
stamens 	 Normalement 3 étamines à filet rubané large, insérées dans un sillon périgyne; anthères extrorses divisées en 2 loges un peu obliques, contiguës ou un peu confluentes. 
pollen 	 Pollen en monades tricolporées subéquiaxes.
style 	 Style pyramidal court à stigmate ponctiforme.
ovules 	 Ovules 2 par loge.
ovary 	 Ovaire à paroi épaisse.
fruits 	 Le fruit est une baie globuleuse (et non une drupe); la cavité interne est divisée par de minces cloisons. 
seeds 	 Graines, jusqu'a 6, exalbuminées, entourées à maturité d'un peu de mucilage.
habit 	 Grande liane dépassant 10 ou même 30 m; bois jusqu'à plus de 10 cm de diamètre. 
shoots 	 Rameaux roussâtres, rudes, lenticellés.
leaves 	 Feuilles opposées ou ± alternes, à pétiole de 7-15 mm.
lamina 	 Limbe elliptique de 7-18 x 3-9 cm, subcoriace, rebordé, entier (ou denticulé chez les plantules); base cunéiforme ou obtuse;  sommet souvent avec un acumen de 3-10 mm. 
secondary veins 	 Nervures secondaires 5-8 paires, très en relief à sec surtout dessous; nervilles flabellées en relief. 
inflorescence shoots 	 Rameaux inflorescentiels sans feuilles, longs de 60 cm et plus, portant les rameaux florifères ± pendants, parfois très longs, 140 cm, à nombreux glomérules pauci- à multiflores.
buds 	 Boutons larges, diamètre 4-5 mm, tronqués à la base, subaigus apiculés au sommet.
pedicels 	 Pédicelle de 6-20 mm.
flowers 	 Fleur odorante blanc jaune ou vert pâle.
calyx 	 Calice se déchirant en 2-3 lobes irréguliers.
petals 	 Pétales (4-)5(-7) suborbiculaires ou un peu oblongs de 4-6 mm à marge fimbriée, insérés sur un court onglet.
disk 	 Disque vert ou crème pâle, en coussinet massif subpentagonal, de 2-4 mm de diamètre, à 6 fossettes culminales.
stamens 	 Étamines 3(4) dépassant nettement le pistil avant la déhiscence; pollen orangé. 
ovary 	 Ovaire à 3(4) loges; 2 ovules superposés par loge. 
fruits 	 Fruit globuleux, lisse ou bosselé, parfois avec 3(4) sillons longitudinaux, de 1,8-3,5 cm de diamètre, rouge orangé à maturité, à pédoncule long au plus de 2 cm.
seeds 	 Graines 1-6 subglobuleuses, environ 10x7 mm.
habit 	 Arbrisseaux ou liane à rameaux opposés, à feuilles opposées, entièrement glabres et dépourvus de caoutchouc.
lamina 	 Limbe entier, un peu rebordé dessous à sec, acuminé.
inflorescences 	 Inflorescences tantôt contractées et paraissant axillaires, tantôt développées en grappes ou thyrses terminales, à rachis portant parfois une paire de feuilles et susceptible d'allongement, avec parfois des groupes d'écaillés pérulaires décussées soulignant les floraisons successives; latéralement l'inflorescence comporte des cymes bipares pauciflores ou uniflores. 
flowers 	 Fleurs comme les Salacia, à périanthe pentamère, à androcée trimère et protandre; ovaire triloculaire à 2 ovules superposés par loge. 
fruits 	 Fruit comme les Salacia mais à cloisons plus complètes.
seeds 	 Graines à cotylédons séparés et embryon manifestement structuré.
habit 	 Arbuste de (0,30-)0,50-2 m de hauteur ou petite liane de 4-4,5 m au plus.
petiole 	 Pétiole de 2-7 (-14) mm, s'épaissant dans les vieilles feuilles.
lamina 	 Limbe vert olive à sec, de 5-20,5 x 2-9 cm, à base aiguë ou arrondie, à sommet avec un acumen de 6-18 mm.
secondary veins 	 5-8 paires de nervures secondaires.
inflorescences 	 Inflorescence en thyrse terminale ou axillaire, à rachis parfois en partie feuille, à cymes latérales remarquablement grêles, vert pâle, pendantes, opposées ou alternes, pauciflores; cymules à rameaux uniflores alternes très grêles. 
pedicels 	 Pédicelle très fin articulé nettement au-dessus des ultimes bractéoles minuscules.
buds 	 Bouton globuleux de 2 mm de diamètre.
flowers 	 Fleur rotacée de 6-9 mm de diamètre, orangé pâle, jaune ou jaune vert pâle.
sepals 	 Sépales très inégaux, arrondis, ± effrangés.
petals 	 Pétales orbiculaires ou elliptiques de 2-3 mm de longueur, effrangés.
disk 	 Disque disciforme, jaune vert, simple et entier.
long stamens 	 Étamines longues de 0,3 à 0,7 mm; anthère plus large que longue;  pollen jaune pâle. 
ovary 	 Ovaire trilobé à style court et stigmate épaté; 2 ovules superposés par loges. 
juvenile fruits 	 Jeune fruit cucumiforme vert et lisse, pendant, à long pédoncule grêle d'environ 4-7 cm.
mature fruits 	 Fruit mûr orange vif, lisse, sans côtes, de 3,9-10 x 1,9-2,7 cm, atténué à la base, rostré au sommet, à 1-3 graines; probablement une seule graine développée par loge;  mucilage endocarpique sucré;  les plus grands fruits parfois étranglés vers le milieu. 
seeds 	 Graine de 23-30 x 11-15 mm, à tégument très mince; 2 cotylédons verts épais, bien séparables. 
embryo 	 Embryon glabre à bourgeon bien structuré.
habit 	 Arbrisseau de 0,5-1,5 m ± sarmenteux, ou liane atteignant 6 m de hauteur, dépourvu de caoutchouc, à écorce plissée ± crevassée, à rameaux plutôt opposés.
petiole 	 Pétiole de 5-12 mm.
lamina 	 Limbe foliaire de 8-23 x 3-9,5, olivacé à sec, plus pâle dessous, en coin ou parfois obtus à la base, elliptique ou obové, acuminé au sommet.
secondary veins 	 7-12 paires de nervures secondaires.
floriferous shoots 	 Rameaux florifères ± divisés, habituellement récoltés en sous-bois; les parties anciennes marquées de très courts entre-noeuds;  extrémités terminales ou axillaires en grappes à rachis muni de petites bractées aiguës alternes, souvent insérées comme on l'observe à sec, sur des crêtes saillantes;  fleurs latérales, exactement cymes uniflores, portées par un axe long de 1,2-2,5 cm, le pédoncule étant muni, sous le pédicelle, de 2 minuscules bractéoles stériles opposées ou alternes. 
buds 	 Bouton globuleux de 5-6 mm de diamètre.
flowers 	 Fleur rotacée blanc cireux, jaune ou vert clair, de 15-22 mm de diamètre.
calyx 	 Calice à sépales arrondis, verts, nettement inégaux, larges de 2 à 4 mm, finement effrangés.
corolla 	 Corolle à pétales suborbiculaires longs de 7 à 9,5 mm, à marge effrangée, à très nombreuses fines nervures flabelliformes.
disk 	 Disque double: l'inférieur plus grand, diamètre 4,5-6,5 mm, un peu sinueux et subcupuliforme, orangé et plus mince;  le supérieur disciforme, plus petit, diamètre 3,5-5,5 mm, un peu plus épais, brun rouge. 
stamens 	 Étamines à filets longs de 4-5 mm, étroits et espacés, se rabattant vers l'extérieur sans enroulement; anthère aussi longue que large, environ 1,5 mm dans le bouton, les deux loges disposées en angle aigu;  pollen jaune orangé. 
ovary 	 Ovaire pyramidal atténué à stigmate ± épaté. 2 ovules superposés par loge, l'inférieur descendant, le supérieur ascendant.
juvenile fruits 	 Fruit juvénile cucumiforme aigu; fruit mûr ellipsoïde, de 30 x 22 mm, subverruqueux, subtricosté vers la base, parfois acuminé au sommet, contenant une graine d'environ 20 x 15 mm. 
habit 	 Liane ligneuse glabre à rameaux cylindriques, dépourvue de caoutchouc; stipules peu distinctes, non connues au stade juvénile. 
leaves 	 Feuilles opposées à pétiole devenant épais, long de 4-5 mm, à canal étroit.
lamina 	 Limbe vert olivacé subconcolore à sec, lisse dessus, elliptique, de 8-20 x 3,5-10 cm, à base atténuée subaiguë; sommet avec un acumen de 7-12 mm. 
median veins 	 Nervure médiane en fine crête dessus à sec; 5-7 paires de nervures secondaires bien marquées et formant des arceaux à 4-5 mm de la marge qui est entière. 
inflorescences 	 Inflorescences composées d'unités pluriflores disposées en thyrses indéfinies à longs rameaux grêles opposés; ces axes d'aspect raide sont marqués de niveaux espacés soulignés de groupes serrés d'écailles pérulaires;  les parties florifères dépourvues de feuilles sont ± terminales et atteignent 10-40 cm de longueur;  les fleurs sont opposées en paires décussées, avec des bractées aiguës de 1 mm, et groupées par 2-5 paires aux extrémités. 
pedicels 	 Pédicelles longs de 5-7 mm, au sommet d'un segment d'axe de 4-12 mm portant 2 bractéoles stériles opposées ou subopposées.
buds 	 Bouton globuleux de 5-7 mm de diamètre.
flowers 	 Fleurs vertes à disque brun, rotacées.
sepals 	 Sépales 5 orbiculaires ou ovés, entiers ou microfimbriolés, peu inégaux, longs de 3 mm.
petals 	 Pétales 5 suborbiculaires de 7-10 x 5-9 mm, multinerviés, microdenticulés et rebordés par dessous, juxtaposés au niveau du bord du disque, à insertion étroite au dessous.
disk 	 Disque circulaire de 5-7 mm de diamètre, fendu de 5 échancrures et faiblement relevé en cupule.
stamens 	 Étamines de 3-5 mm à filament grêle, insérées dans un petit sillon périgyne; anthère de 1-1,7 mm de largeur et de longueur, à deux thèques disposées en chevron aigu, les fentes de déhiscence étant presque longitudinales. 
pistil 	 Pistil nettement supère, en pyramide atténuée subulée, de 3 mm de hauteur, à stigmate ponctiforme.
locules 	 Loges supérieures au disque, contenant chacune 2 ovules superposés.
juvenile fruits 	 Jeune fruit de type charnu, oblong conique, à pièces florales persistantes.
mature fruits 	 Fruit mûr et graines non connus.
habit 	 Lianes ligneuses ± élevées ou arbustes le plus souvent glabres.
wood 	 Vieux bois cylindrique en massif entier (notamment chez les arbustes) ou divisé par des lacunes parenchymateuses concentriques ± festonnées ou discontinues, ou parfois par des sillons rayonnants (S. nitida).
shoots 	 Rameaux alternes issus de l'aisselle d'écailles insérées en spirale sur les axes orthotropes allongés.
internodes 	 Entre-noeuds rarement hispides ou pubescents, cylindriques ou marqués d'arêtes, parfois d'ailes.
lateral shoots 	 Rameaux latéraux plagiotropes parfois préhensiles.
latex 	 Présence ou absence de caoutchouc (pétiole, limbe foliaire, pédicelle floral).
leaves 	 Feuilles opposées décussées, rarement alternes et spiralées (plantules et quelques espèces non camerouno-gabonaises).
petiole 	 Pétiole canaliculé.
lamina 	 Limbe simple, entier ou denté, souvent acuminé.
stipules 	 Stipules réduites insérées sur le rameau, peu distinctes et ± caduques.
inflorescences 	 Inflorescences axillaires, rarement caulinaires, souvent fasciculées sur un glomérule; parfois cymes uni- ou pauciflores, ou pluriflores ± rameuses et ± pédonculées. 
flower buds 	 Bouton floral pédicelle, globuleux, ové ou oblong, parfois court et large, à double périanthe quinconcial.
flowers 	 Fleurs protandres, vertes ou colorées, blanchâtres, jaunes, orangées, rouges, brunes ou violet noirâtre.
calyx 	 Calice à (4)5 lobes égaux ou non.
corolla 	 Corolle rotacée, plus rarement érigée, de 2-20 mm de diamètre; 5 pétales orbiculai-res, ovés ou oblongs, sessiles ou subonguiculés, minces ou un peu charnus, parfois subanguleux, subégaux et marqués de fossettes. 
disk 	 Disque extrastaminal charnu nectarifère, annulaire disciforme ou tronconique, parfois globuleux, subcylindrique ou pentagonal, plus rarement cupulaire ou porté par un androgynophore, parfois marqué comme les pétales de fossettes dues à la compression des anthères lors de la préfloraison.
stamens 	 Étamines (2)3 intradiscales, insérées ou non dans un sillon périgine; filet rubané atténué se courbant vers l'extérieur;  anthère subtranverse ou en chevron ± aigu, extrorse, divisée en 2 loges distinctes ou ± confluentes, à connectif rarement un peu saillant. 
pollen 	 Pollen en monades tricolporées à exine réticulée.
ovary 	 Ovaire ± enfoncé dans le disque, conique subpyramidal à la base du style, à paroi plutôt épaisse à (2)3 loges.
style 	 Style atténué court ou long, à stigmate terminal ponctiforme rarement un peu capité.
ovules 	 Ovules (1)2-11 par loge, axillaires, horizontaux ou un peu ascendants, plus rarement un peu descendants, 2-sériés ou superposés.
fruits 	 Fruits bacciformes globuleux, cucumiformes, piriformes ou oblongs, longs de 1-12 cm, à 3 loges peu distinctes, les cloisons pulpeuses étant ± dégradées à maturité.
pericarp 	 Péricarpe ± coriace mais charnu, glabre, lisse ou orné de plis, crêtes, verrues ou protubérances, vert puis jaune ou rouge orangé à maturité.
seeds 	 Graines 1-24 pesant environ 1-6 grammes, enrobées dans une pulpe mucilagineuse endocarpique sucrée et comestible.
testa 	 Testa mince, adhérent, brunâtre, non orné mais ± strié par l'épanouissement fibrovasculaire lié à la chalaze.
cotyledons 	 Cotylédons massifs, libres ou souvent ± soudés.
embryo 	 Embryon à structures peu distinctes ou très réduites.
flowers 	 Les fleurs sont un peu plus grandes, 5 mm de diamètre; les sépales plus longs et plus aigus sont munis sur les marges recouvrantes de 1-3 longs cils;  le pistil est surbaissé et creusé de 3 fossettes portant les étamines; 
leaves 	 les feuilles sont moins nettement dentées;
juvenile shoots 	 les jeunes rameaux sont plus comprimés et n'ont pas comme chez debilis la tendance à être carrés en coupe et subailés.
habit 	 Liane élevée de 5-20 m de hauteur, glabre, dépourvue de caoutchouc.
wood 	 Bois dépassant 2,5 cm de diamètre, montrant en coupe des zones concentriques étroites séparées par des lignes formées comme par des points de couture serrés.
internodes 	 Entre-noeuds ruguleux ou lisses, souvent olivâtres.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 7-15 mm à texture finement crispée à sec et à canal étroit.
lamina 	 Limbe souvent olivacé et presque concolore à sec, grand et oblong, de 15-35 x 4-12 cm, à base aiguë ou arrondie; sommet acuminé ou rostrè sur 1-2,5 cm;  marge entière, rarement avec de faibles denticules. 
secondary veins 	 Nervures secondaires 11-16 paires, moyennement ou peu ascendantes.
inflorescences 	 Inflorescences caulinaires en bouquets floraux pauci- à multiflores sur des verrues ou bosses ligneuses échelonnées entre le niveau du sol et 2 m de hauteur.
pedicels 	 Pédicelles de (2) 4-9,5 cm, souvent très grêles.
buds 	 Bouton de 4-8 mm de diamètre pour 4-5 mm de hauteur.
flowers 	 Fleur orangée, variant de jaune ocracé à vermillon, rose ou brun rouge, rotacée, de 20-32 mm de diamètre.
calyx 	 Calice étalé à sépales inégaux: 2 ovés et 3 grands ± orbiculaires. 
petals 	 Pétales 5 de 9-15 x 10-15 mm, un peu onguiculés, à nombreuses nervures flabellées.
disk 	 Disque à peu près plat, circulaire ou subpentagonal, de 5-7,5 mm de diamètre, marginé (bande marginale dépassant 0,5 mm de largeur sur matériel réhydraté).
stamens 	 Étamines de 1,2-2 mm de longueur, à filet large à la base et inséré sans sillon périgyne.
ovary 	 Ovaire haut de 1,3-1,6 mm pour sa partie apparente dont le bref style pyramidal. 3 loges à 4-5 (6) ovules chacune, juxtaposés ou superposés.
fruits 	 Fruit rouge saumoné à maturité, elliptique ou oblong, de 7-11 x 3-5,5 cm, à pédoncule épaissi de 3 mm de diamètre, à surface ornée de plis irréguliers, contenant 4-10 graines enrobées dans un mucilage sucré abondant.
seeds 	 Graines de 30-42 x 14-19 mm, poids dépassant 6,5 gr, à masse cotylédonaire jaune pâle homogène.
embryo bud 	 Bourgeon de l'embryon très réduit de 0,7 mm environ.
habit 	 Arbuste de 1,20 m, cas exceptionnel, ou plus souvent liane élevée jusqu'à 30 m, glabre et dépourvue de caoutchouc, à jeunes entre-noeuds lenticellés.
wood 	 Bois montrant en coupe des stries concentriques.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétioles de (3)4-14 mm, à canal peu marqué mais plutôt large.
lamina 	 Limbe discolore, à sec terne et souvent gris olivâtre dessus, de (9)12-25 x (2,5)3,5-10 cm, à base aiguë ou subobtuse, à sommet sublancéolé ou ± acuminé, à marges entières (rarement un peu dentées: forme probablement juvénile chez Jacques-Félix s.n., Guinée).
median veins 	 Nervure médiane sans relief dessus à sec; (4)5-8(9) paires de nervures secondaires;  les intersecondaires sont un peu subparallèles et subtransverses. 
inflorescences 	 Inflorescences uni-, pauci- ou multiflores (jusqu'à plus de 15 fleurs sur un glomérule bractéolé subsessile, parfois divisé, axillaire, généralement à des noeuds feuillés.
pedicels 	 Pédicelle de (14)20-35(46) mm.
buds 	 Bouton court et plutôt large, de 5-6 mm de diamètre, à pétales très largement coiffés les uns par les autres.
flowers 	 Fleur rotacée jaune, jaune vert, d'aspect cireux, ocracé ou± orangé, de 12-20 mm de diamètre.
calyx 	 Calices à sépales inégaux, orbiculaires ou ovés, larges de 2,2-3 mm, entiers ou à marge un peu denticulée.
petals 	 Pétales suborbiculaires juxtaposés ou un peu espacés entre eux à la base, de (5)6-10 mm.
disk 	 Disque jaune ou vert pâle de 2-5 mm de diamètre, subpentagonal, plat et étalé, marginé, sans sillon périgyne.
stamens 	 Étamines de 1-2 mm, à filets élargis mais espacés à la base; anthère transversalement déhiscente à loges confluentes en thèque simple de 0,5-1 mm en largeur. 
pistil 	 Pistil triédrique de 1-2 mm de hauteur, à stigmate ponctiforme; loges demi-enfoncées à 4-7 ovules chacune sur deux rangs. 
fruits 	 Fruit ovale ou elliptique, aux extrémités obtuses ou au contraire atténuées, de 4,5-9,5 x 3-4,3 cm, à 3 côtes étroites un peu saillantes, lisse ou à peine verruculeux, rouge vif à maturité et contenant un nombre variable de graines.
juvenile fruits 	 Jeunes fruits avec les pièces florales un peu persistantes (Leeuwenberg 8069).
habit 	 Arbuste (?) glabre, dépourvu de caoutchouc, à jeunes rameaux marqués assez densément de petites lenticelles.
leaves 	 Feuilles opposées à pétiole de 3-5 mm.
lamina 	 Limbe gris olivacé à brunâtre, brillant dessus, faiblement discolore, elliptique ± ové ou oblong, de 10-14 x 3,5-6 cm, à base aiguë ou subobtuse, à sommet brièvement acuminé, à marge subentière ou rebordée subdentée.
secondary veins 	 Nervures secondaires 5-7 paires.
inflorescences 	 Fascicules axillaires sessiles 6-flores.
pedicels 	 Pédicelle de 10-15 mm.
buds 	 Bouton globuleux court.
flowers 	 Fleur de 18 mm de diamètre.
sepals 	 Sépales inégaux, les externes deltoïdes arrondis, entiers, de 2 x 3 mm, les internes subsemiorbiculaires, marginés, ± irrégulièrement déchirés, de 3 x 4 mm.
petals 	 Pétales de 6-8 x 8-10 mm, subonguiculés.
disk 	 Disque étalé de 4-5 mm de diamètre.
stamens 	 Étamines de 2 mm; anthère à fente de déhiscence transversale presque orientée vers le haut. 
pistil 	 Pistil en courte pyramide avec le stigmate ponctiforme.
ovules 	 Six ovules bisériés par loge.
habit 	 Arbuste de 0,80 m ou liane de 5 m de hauteur et plus, glabres, dépourvus de caoutchouc, à rameaux subcylindriques lisses ordinairement sans arêtes, olivacés, un peu élargis vers les noeuds.
petiole 	 Pétiole de 8-18 mm.
leaves 	 Feuilles opposées ou subopposées, olivacées à sec, un peu discolores, plus oblongues qu'elliptiques, de 12-25 x 4-9,5 cm, à base aiguë, parfois très brièvement, à sommet acuminé, à marge crénelée à dentée.
secondary veins 	 Nervures secondaires 10-14 paires un peu arquées; fin réseau inégalement distinct. 
inflorescences 	 Inflorescences axillaires 1-6-flores à glomérule basal sessile.
pedicels 	 Pédicelle de (8)12-24 mm.
buds 	 Bouton subglobuleux de 4,8-5,5 x 6-6,5 mm.
flowers 	 Fleur rotacée de 15-21 mm de diamètre, jaune ou jaune brun d'aspect cireux.
calyx 	 Calice de 6,5-11 mm de diamètre; sépales suborbiculaires larges de 2,2-4,2 mm, inégaux ou subégaux, à marge assez grossièrement érodée glanduleuse. 
petals 	 Pétales orbiculaires subonguiculés, de 6-9 mm de diamètre, à nervation flabellée ramifiée, à marge entière.
disk 	 Disque grand et plat, à contour circulaire ou pentagonal, marginé, cupuliforme seulement dans le bouton, de 4-7 mm de diamètre.
stamens 	 Étamines larges à la base mais espacées, hautes de 1,5-2,5 mm; anthère transverse de 0,9-1,2 mm de largeur, à loges confluentes, en chevron très obtus dans le bouton. 
pistil 	 Pistil pyramidal de 1,5-2 mm de hauteur, subulé à stigmate ponctiforme.
ovules 	 4-8 ovules bisériés par loge, le plus souvent 5-6.
fruits 	 Fruit subgloboïde lisse de 6-7,5 x 5,5-6,5 cm, à paroi épaisse de 5 mm.
juvenile internodes 	 Jeunes entre-noeuds ayant souvent 4 fines arêtes.
petiole 	 Pétiole de 7-15 mm.
lamina 	 Limbe vert brunâtre dessus et vert jaunâtre dessous, entier, plus elliptique qu'oblong, de 8-20 x 3,5-8 cm, à 7-10 paires de nervures secondaires largement arquées.
pedicels 	 Pédicelles courts, de 3-8 mm.
sepals 	 Sépales inégaux de 2,2-6 mm de largeur, à fins denticules marginaux.
ovules 	 Ovules 6-9 par loge, souvent 8.
habit 	 Liane dépassant 25 m de hauteur, dépourvue de caoutchouc.
wood 	 Bois de 16 mm de diamètre, jaune pâle à 2 cercles concentriques de parenchyme.
shoots 	 Rameaux juvéniles glabres et lisses, bruns, les plus jeunes un peu comprimés aux noeuds avec 4 fines arêtes.
leaves 	 Feuilles opposées ou légèrement subopposées.
petiole 	 Pétioles de 6-8(10) x 1-1,5 mm, très finement chagrinés à sec, à canal droit ou presque, plutôt étroit.
lamina 	 Limbes oblongs elliptiques, de 9-17 x 4-8 cm, faiblement dentés ou entiers, papyracés, très foncés et subconcolores à sec, à base brièvement cunéiforme et presque arrondie, à sommet sublancéolé ou acuminé sur 5-17 mm.
median veins 	 Nervure médiane en étroite crête dans un sillon jusque vers la mi-longueur du limbe; 7-9(11) paires de nervures secondaires;  dense réticule très fin et bien apparent sur les deux faces à sec. 
inflorescences 	 Glomérules axillaires uni- à triflores sessiles.
pedicels 	 Pédicelles de 6-16 mm.
buds 	 Bouton large, environ 6 mm, et très court, noir à sec.
flowers 	 Fleur rotacée de 12-15 mm de diamètre, orangée ou jaune, parfois un peu verdâtre ou ocracée, noire à sec sauf les marges des pièces périanthaires qui restent pâles.
calyx 	 Calice de 6-7 mm de largeur, à 5 sépales ± charnus subapicale-ment, à marge mince, denticulée et ± glandulifère.
petals 	 Pétales 5 orbiculaires subonguiculés, de 5-7 mm de diamètre.
disk 	 Disque pentagonal, de 4-5 mm de diamètre, faiblement patelliforme ou tout à fait étalé et peu épais; pas de sillon périgyne. 
stamens 	 Étamines 3 de 1-1,3 mm, espacées, à filet un peu élargi à la base; anthère réniforme à ligne transversale de déhiscence faiblement brisée. 
style 	 Style très court à stigmate ponctiforme.
locules 	 Loges d'ovaires demi-enfoncées sous le niveau supérieur du disque et contenant chacune (3)4-5(6) ovules.
fruits 	 Fruit non connu.
note 	 Nous ne connaissons pas cette espèce; la description qui suit est inspirée de la description originale.
habit 	 Liane glabre et dépourvue de caoutchouc, à vieux rameaux densément lenticellés.
leaves 	 Feuilles opposées.
petiole 	 Pétiole de 8-13 mm, faiblement canaliculé.
lamina 	 Limbe brun olivacé brillant dessus, dessous à peine plus pâle, elliptique, de 12-18 x 5-7,3 cm, à base large et cunéiforme, à sommet obtusément acuminé, à marges dentées.
reticulum 	 Fin réticule apparent et très dense.
inflorescences 	 Fascicules axillaires pauciflores.
flowers 	 Fleurs grandes brun jaune.
buds 	 Bouton très brièvement ovoïde.
pedicels 	 Pédicelle de 5-6 mm.
sepals 	 Sépales deltoïdes subégaux épaissis dorsalement, noircissant à sec mais à marge pâle lacérée fimbriée, les 3 internes plus larges.
petals 	 Pétales subonguiculés de 5-6 mm, à base noircissante, le reste étant pâle et strié de nervures flabellées noirâtres.
disk 	 Disque de 4 mm de diamètre, étalé pentagonal.
stamens 	 Étamines très courtes; anthères à dèhiscence transversale. 
pistil 	 Pistil court; 6 ovules par loge, bisériés. 
habit 	 Arbuste de 0,80-6 m de hauteur, parfois sarmenteux, ou liane de 3 à plus de 15 m (Bos 4178), dépourvus de caoutchouc.
internodes 	 Entre-noeuds rugueux, à sec souvent brun roux avec des lenticelles blanchâtres.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 3-10 mm à bords du canal droits.
lamina 	 Limbe discolore, à face supérieure rousse à gris olivacé à sec et terne ou uniformément mate, elliptique, de 8-23 x 2,5-9 cm; base aiguë ou arrondie;  sommet acuminé;  marge entière ou médiocrement crénelée. 
secondary veins 	 Nervures secondaires 5-8 paires; fin réseau non visible. 
inflorescences 	 Inflorescences en glomérules axillaires sessiles pauci- à pluriflores (environ 10 fleurs au plus).
pedicels 	 Pédicelle de (5)8-20(24) mm.
buds 	 Bouton subglobuleux, un peu épais à la base, de 2-3 mm de diamètre.
